기준일자,기준시,전력사용량(MWh),datetime,기온(°C),강수량(mm),풍속(m/s),습도(%),일사(MJ/m2),전운량(10분위),미세먼지(PM10),초미세먼지(PM25),hour,dayofweek,month,is_weekend,is_holiday,is_off
2023-01-01,1,3783,2023-01-01 1:00,1.5,,1.9,71,,6,60.25,46.275,1,6,1,1,1,1
2023-01-01,2,3567,2023-01-01 2:00,1.5,,1.9,72,,9,64.925,50.225,2,6,1,1,1,1
2023-01-01,3,3364,2023-01-01 3:00,1.6,,1.6,74,,8,70.95,54.475,3,6,1,1,1,1
2023-01-01,4,3264,2023-01-01 4:00,1.5,,1.4,74,,9,75.625,58.75,4,6,1,1,1,1
2023-01-01,5,3252,2023-01-01 5:00,0.8,,2.4,62,,7,77.575,59.4,5,6,1,1,1,1
2023-01-01,6,3376,2023-01-01 6:00,-0.2,,3.1,67,,1,66.925,50.525,6,6,1,1,1,1
2023-01-01,7,3586,2023-01-01 7:00,-1.5,,2.5,71,,0,63.05,47.125,7,6,1,1,1,1
2023-01-01,8,3825,2023-01-01 8:00,-1.8,,2.7,75,0,0,64.775,49.475,8,6,1,1,1,1
2023-01-01,9,4132,2023-01-01 9:00,-1.7,,2.1,75,0.28,0,68.625,51.325,9,6,1,1,1,1
2023-01-01,10,4398,2023-01-01 10:00,-0.4,,2.4,66,0.83,0,70.525,52.45,10,6,1,1,1,1
2023-01-01,11,4580,2023-01-01 11:00,0.4,,3.6,58,1.38,0,73.45,53.375,11,6,1,1,1,1
2023-01-01,12,4585,2023-01-01 12:00,2,,1.7,54,1.73,0,71.925,52.1,12,6,1,1,1,1
2023-01-01,13,4569,2023-01-01 13:00,3,,2.5,45,1.87,0,69.65,49.35,13,6,1,1,1,1
2023-01-01,14,4540,2023-01-01 14:00,3.8,,2.9,38,1.77,1,59.35,40.475,14,6,1,1,1,1
2023-01-01,15,4510,2023-01-01 15:00,3.1,,3.1,37,1.51,1,48.5,30.975,15,6,1,1,1,1
2023-01-01,16,4516,2023-01-01 16:00,2.6,,4.4,33,0.97,1,42.425,27.025,16,6,1,1,1,1
2023-01-01,17,4598,2023-01-01 17:00,1.7,,3.1,29,0.44,0,35.825,21.95,17,6,1,1,1,1
2023-01-01,18,4861,2023-01-01 18:00,0.1,,2.9,35,0.03,0,27.925,14.425,18,6,1,1,1,1
2023-01-01,19,5002,2023-01-01 19:00,-0.8,,2.9,40,,1,27.5,15.25,19,6,1,1,1,1
2023-01-01,20,4962,2023-01-01 20:00,-1.7,,3.5,44,,4,27.475,15.3,20,6,1,1,1,1
2023-01-01,21,4847,2023-01-01 21:00,-2.2,,3.2,45,,0,26.65,15.1,21,6,1,1,1,1
2023-01-01,22,4666,2023-01-01 22:00,-2.7,,3.8,45,,7,22.725,12.325,22,6,1,1,1,1
2023-01-01,23,4382,2023-01-01 23:00,-3.4,,2.6,46,,1,19.125,9.95,23,6,1,1,1,1
2023-01-01,24,4071,2023-01-02 0:00,-4.3,,2.2,49,,0,17.875,8.897435897,0,0,1,0,0,0
2023-01-02,1,3763,2023-01-02 1:00,-5,,2.6,49,,0,18.55,9.675,1,0,1,0,0,0
2023-01-02,2,3544,2023-01-02 2:00,-5.6,,2.3,51,,0,18.20512821,9.615384615,2,0,1,0,0,0
2023-01-02,3,3424,2023-01-02 3:00,-6.2,,2.2,53,,0,18.2,10.225,3,0,1,0,0,0
2023-01-02,4,3371,2023-01-02 4:00,-6.6,,1.2,52,,0,18.675,10.15,4,0,1,0,0,0
2023-01-02,5,3430,2023-01-02 5:00,-6.7,,1.9,52,,0,19.25,10.375,5,0,1,0,0,0
2023-01-02,6,3737,2023-01-02 6:00,-6.4,,2.7,51,,0,19.675,10.5,6,0,1,0,0,0
2023-01-02,7,4344,2023-01-02 7:00,-6.6,,2.9,52,,2,21.1,10.9,7,0,1,0,0,0
2023-01-02,8,5143,2023-01-02 8:00,-7.3,,1.7,53,0,1,22.525,10.925,8,0,1,0,0,0
2023-01-02,9,6090,2023-01-02 9:00,-6.6,,3,53,0.33,0,23.6,11.875,9,0,1,0,0,0
2023-01-02,10,6842,2023-01-02 10:00,-5.1,,2.6,47,0.91,0,24.3,11.325,10,0,1,0,0,0
2023-01-02,11,7119,2023-01-02 11:00,-4.1,,3.7,44,1.5,0,28.25,12.82051282,11,0,1,0,0,0
2023-01-02,12,7289,2023-01-02 12:00,-2.6,,3.2,37,1.86,0,28.64102564,12.37837838,12,0,1,0,0,0
2023-01-02,13,7149,2023-01-02 13:00,-2.2,,3.5,35,1.99,0,29.15789474,13.40540541,13,0,1,0,0,0
2023-01-02,14,7060,2023-01-02 14:00,-1.4,,2.8,34,1.89,0,29.34210526,14.39473684,14,0,1,0,0,0
2023-01-02,15,6945,2023-01-02 15:00,-0.7,,3,34,1.6,0,31.07692308,14.48717949,15,0,1,0,0,0
2023-01-02,16,6828,2023-01-02 16:00,-0.9,,3,34,1.09,0,31.13513514,12.54054054,16,0,1,0,0,0
2023-01-02,17,6817,2023-01-02 17:00,-1.7,,1.7,37,0.43,0,30.63157895,11.44736842,17,0,1,0,0,0
2023-01-02,18,6838,2023-01-02 18:00,-2.7,,2.8,39,0.03,0,28.71052632,10.57894737,18,0,1,0,0,0
2023-01-02,19,6549,2023-01-02 19:00,-3.4,,2.6,44,,0,28.525,10.25,19,0,1,0,0,0
2023-01-02,20,6156,2023-01-02 20:00,-3.7,,2.9,46,,0,30.225,11.25,20,0,1,0,0,0
2023-01-02,21,5757,2023-01-02 21:00,-4.4,,1.7,48,,0,31.775,12.7,21,0,1,0,0,0
2023-01-02,22,5350,2023-01-02 22:00,-5.1,,2.5,46,,0,29.425,12.94871795,22,0,1,0,0,0
2023-01-02,23,4841,2023-01-02 23:00,-5.8,,1.6,49,,0,27.1,13.075,23,0,1,0,0,0
2023-01-02,24,4440,2023-01-03 0:00,-6.5,,2.5,52,,0,25.625,12.6,0,1,1,0,0,0
2023-01-03,1,4074,2023-01-03 1:00,-7.3,,2.3,55,,0,25.475,13.425,1,1,1,0,0,0
2023-01-03,2,3777,2023-01-03 2:00,-7.6,,1.2,59,,0,25.55,13.425,2,1,1,0,0,0
2023-01-03,3,3631,2023-01-03 3:00,-8.1,,1.1,60,,0,26.85,14.575,3,1,1,0,0,0
2023-01-03,4,3571,2023-01-03 4:00,-8.2,,2.1,59,,0,26.925,15.125,4,1,1,0,0,0
2023-01-03,5,3632,2023-01-03 5:00,-8.4,,1.6,61,,0,26.8,15.025,5,1,1,0,0,0
2023-01-03,6,3928,2023-01-03 6:00,-8.9,,1,65,,0,26.425,15.175,6,1,1,0,0,0
2023-01-03,7,4535,2023-01-03 7:00,-8.9,,0.8,67,,0,28.375,17.225,7,1,1,0,0,0
2023-01-03,8,5369,2023-01-03 8:00,-8.8,,1.5,66,0,0,29.625,17.375,8,1,1,0,0,0
2023-01-03,9,6389,2023-01-03 9:00,-8.3,,1.9,65,0.32,0,32.05,18.675,9,1,1,0,0,0
2023-01-03,10,7151,2023-01-03 10:00,-5.8,,1,59,0.89,0,36.41025641,20.55,10,1,1,0,0,0
2023-01-03,11,7385,2023-01-03 11:00,-3.4,,2.6,41,1.49,0,43.38461538,25.875,11,1,1,0,0,0
2023-01-03,12,7323,2023-01-03 12:00,-2.3,,3,36,1.87,0,41.43243243,23.59459459,12,1,1,0,0,0
2023-01-03,13,7133,2023-01-03 13:00,-1.3,,3.3,34,2,0,36.18918919,19.21621622,13,1,1,0,0,0
2023-01-03,14,7048,2023-01-03 14:00,-0.2,,2.5,30,1.94,0,32.91891892,16.64864865,14,1,1,0,0,0
2023-01-03,15,6950,2023-01-03 15:00,-0.5,,3.6,27,1.62,0,31.47222222,16.41666667,15,1,1,0,0,0
2023-01-03,16,6851,2023-01-03 16:00,0.3,,2.3,30,1.13,0,30.08571429,15.08571429,16,1,1,0,0,0
