기준일자,기준시,전력사용량(MWh),datetime,기온(°C),강수량(mm),풍속(m/s),습도(%),일사(MJ/m2),전운량(10분위),미세먼지(PM10),초미세먼지(PM25),hour,dayofweek,month,is_weekend,is_holiday,is_off,CDD,HDD,lag_24,lag_168,rolling_24h,체감온도,불쾌지수,태양광추정
2023-01-08,1,3758,2023-01-08 1:00,-1.8,,0.7,74,,0,150.0512821,64.95,1,6,1,1,0,1,0,19.8,3906,3783,4545.541667,-0.5728,32.43072,0
2023-01-08,2,3514,2023-01-08 2:00,-2,,1.7,74,,8,145.3846154,61.475,2,6,1,1,0,1,0,20,3600,3567,4539.375,-0.752,32.1222,0
2023-01-08,3,3361,2023-01-08 3:00,-2.4,,0.7,77,,0,148.0512821,60.05,3,6,1,1,0,1,0,20.4,3424,3364,4535.791667,-1.2592,30.98418,0
2023-01-08,4,3284,2023-01-08 4:00,-2.8,,1.5,76,,0,145.8717949,59.325,4,6,1,1,0,1,0,20.8,3333,3264,4533.166667,-1.5712,30.53288,0
2023-01-08,5,3290,2023-01-08 5:00,-3.1,,1.7,80,,0,147.0769231,59.25,5,6,1,1,0,1,0,21.1,3339,3252,4531.125,-2.052,29.3418,0
2023-01-08,6,3423,2023-01-08 6:00,-3.2,,1.7,86,,2,141.5641026,59.175,6,6,1,1,0,1,0,21.2,3487,3376,4529.083333,-2.4608,28.09212,0
2023-01-08,7,3634,2023-01-08 7:00,-3.2,,0.2,89,,3,140.7179487,60.15,7,6,1,1,0,1,0,21.2,3744,3586,4526.416667,-2.6192,27.54738,0
2023-01-08,8,3892,2023-01-08 8:00,-3.7,,2.1,90,0,0,135.5641026,59.075,8,6,1,1,0,1,0,21.7,4053,3825,4521.833333,-3.152,26.5153,0
2023-01-08,9,4249,2023-01-08 9:00,-3.3,,2.3,90,0.25,0,136.1282051,61.35,9,6,1,1,0,1,0,21.3,4534,4132,4515.125,-2.768,27.1957,0.045
2023-01-08,10,4576,2023-01-08 10:00,-1,,2.2,84,0.77,0,135.7692308,67.025,10,6,1,1,0,1,0,19,5072,4398,4503.25,-0.296,32.0668,0.1386
2023-01-08,11,4817,2023-01-08 11:00,1,,2,76,1.32,0,142.6923077,74.75,11,6,1,1,0,1,0,17,5420,4580,4482.583333,1.864,36.47,0.2376
2023-01-08,12,4846,2023-01-08 12:00,2.8,,1.1,67,1.64,0,145.8717949,74.8,12,6,1,1,0,1,0,15.2,5497,4585,4457.458333,3.7504,40.38194,0.2952
2023-01-08,13,4827,2023-01-08 13:00,4.2,,1.8,54,1.71,0,146.974359,68.375,13,6,1,1,0,1,0,13.8,5430,4569,4430.333333,5.2672,43.85272,0.3078
2023-01-08,14,4776,2023-01-08 14:00,4.9,,1.1,52,1.62,0,133.5641026,57.325,14,6,1,1,0,1,0,13.1,5300,4540,4405.208333,5.8792,44.99672,0.2916
2023-01-08,15,4717,2023-01-08 15:00,5.9,,0.9,47,1.25,0,127.1025641,52.1,15,6,1,1,0,1,0,12.1,5182,4510,4383.375,6.7692,46.77897,0.225
2023-01-08,16,4705,2023-01-08 16:00,5.7,,1.1,49,0.65,8,120.3846154,48.475,16,6,1,1,0,1,0,12.3,5108,4516,4364,6.5772,46.33697,0.117
2023-01-08,17,4797,2023-01-08 17:00,4.9,,0.9,54,0.14,9,117.8461538,48.4,17,6,1,1,0,1,0,13.1,5089,4598,4347.208333,5.8384,44.79394,0.0252
2023-01-08,18,4976,2023-01-08 18:00,4,,2.5,59,0.02,5,115.025641,49.275,18,6,1,1,0,1,0,14,5197,4861,4335.041667,4.984,43.0323,0.0036
2023-01-08,19,5049,2023-01-08 19:00,3.5,,2.6,62,,8,115.6666667,53.25,19,6,1,1,0,1,0,14.5,5229,5002,4325.833333,4.488,41.9895,0
2023-01-08,20,4959,2023-01-08 20:00,3.1,,2.9,64,,0,115.6666667,56.475,20,6,1,1,0,1,0,14.9,5112,4962,4318.333333,4.0936,41.18156,0
2023-01-08,21,4791,2023-01-08 21:00,3.1,,2,64,,8,115.4615385,57.475,21,6,1,1,0,1,0,14.9,4920,4847,4311.958333,4.0936,41.18156,0
2023-01-08,22,4547,2023-01-08 22:00,3.1,,2.4,64,,8,111.1538462,54.925,22,6,1,1,0,1,0,14.9,4668,4666,4306.583333,4.0936,41.18156,0
2023-01-08,23,4231,2023-01-08 23:00,3.2,,1.5,63,,8,110.1794872,54.35,23,6,1,1,0,1,0,14.8,4362,4382,4301.541667,4.2064,41.44414,0
2023-01-08,24,3935,2023-01-09 0:00,3.2,,2.4,64,,9,107.1025641,52.85,0,0,1,0,0,0,0,14.8,4087,4071,4296.083333,4.1792,41.32592,0
2023-01-09,1,3588,2023-01-09 1:00,3.2,,1.7,65,,9,106.2820513,52.25,1,0,1,0,0,0,0,14.8,3758,3763,4289.75,4.152,41.2077,0
2023-01-09,2,3358,2023-01-09 2:00,3.3,,2,65,,9,102.6153846,51.15,2,0,1,0,0,0,0,14.7,3514,3544,4282.666667,4.238,41.35305,0
2023-01-09,3,3219,2023-01-09 3:00,3.4,,2.2,66,,9,103.2307692,51.9,3,0,1,0,0,0,0,14.6,3361,3424,4276.166667,4.2976,41.38216,0
2023-01-09,4,3165,2023-01-09 4:00,3.4,,1.4,66,,8,100.5128205,50.4,4,0,1,0,0,0,0,14.6,3284,3371,4270.25,4.2976,41.38216,0
2023-01-09,5,3224,2023-01-09 5:00,3.5,,2,66,,9,101.0769231,50.625,5,0,1,0,0,0,0,14.5,3290,3430,4265.291667,4.384,41.5285,0
2023-01-09,6,3517,2023-01-09 6:00,3.7,,1.6,66,,9,100.0769231,50.25,6,0,1,0,0,0,0,14.3,3423,3737,4262.541667,4.5568,41.82118,0
2023-01-09,7,4095,2023-01-09 7:00,3.8,,2,74,,9,104.3846154,50.7,7,0,1,0,0,0,0,14.2,3634,4344,4266.458333,4.4448,41.06928,0
2023-01-09,8,4856,2023-01-09 8:00,3.5,,1.9,72,0.01,8,111.2051282,49.475,8,0,1,0,0,0,0,14.5,3892,5143,4285.666667,4.228,40.837,0.0018
2023-01-09,9,5750,2023-01-09 9:00,3.6,,1.3,74,0.1,8,125.8974359,51.125,9,0,1,0,0,0,0,14.4,4249,6090,4325.833333,4.2656,40.76076,0.018
2023-01-09,10,6408,2023-01-09 10:00,4.7,,1.5,72,0.63,0,132.6923077,51.425,10,0,1,0,0,0,0,13.3,4576,6842,4388.375,5.2936,42.66436,0.1134
2023-01-09,11,6599,2023-01-09 11:00,5.5,,3,65,1.3,0,140.5897436,52.425,11,0,1,0,0,0,0,12.5,4817,7119,4464.708333,6.13,44.55075,0.234
2023-01-09,12,6530,2023-01-09 12:00,6.3,,2.9,59,1.72,0,139.4473684,48.87179487,12,0,1,0,0,0,0,11.7,4846,7289,4538.958333,6.9068,46.23873,0.3096
2023-01-09,13,6378,2023-01-09 13:00,6.5,,3.6,51,1.89,0,126.1315789,42.05128205,13,0,1,0,0,0,0,11.5,4827,7149,4609.125,7.186,47.20195,0.3402
2023-01-09,14,6301,2023-01-09 14:00,6.7,,4.4,51,1.79,0,107.7105263,37.05263158,14,0,1,0,0,0,0,11.3,4776,7060,4673.75,7.3468,47.46493,0.3222
