datetime,hour,dayofweek,month,is_holiday,is_peak_hour,기온(°C),강수량(mm),습도(%),일사(MJ/m2),CDD,HDD,is_heatwave,temp_3h_mean,temp_6h_max,lag_1,lag_3,lag_24,lag_168,rolling_6h_mean,rolling_24h_mean,rolling_24h_std,전력사용량(MWh),pred
2024-01-01 00:00:00,0,0,1,1,0,0.5640000000000001,0.0,97.08,0.0,0.0,17.436,0,0.691999999999994,0.948,4596.0,5083.0,4314.0,4627.0,5062.5,4561.25,708.2578288828653,4298,4299.782
2024-01-01 01:00:00,1,0,1,1,0,0.5,0.0,97.0,0.0,0.0,17.5,0,0.627999999999994,0.8840000000000001,4298.0,4872.0,3978.0,4289.0,4901.666666666667,4560.583333333333,708.5081642723227,4002,3907.0288
2024-01-01 02:00:00,2,0,1,1,0,0.4,0.0,98.0,0.0,0.0,17.6,0,0.563999999999994,0.8200000000000001,4002.0,4596.0,3708.0,4034.0,4680.833333333333,4561.583333333333,707.6665830414632,3757,3747.3208
2024-01-01 03:00:00,3,0,1,1,0,-0.1,0.0,98.0,0.0,0.0,18.1,0,0.48799999999999394,0.756,3757.0,4298.0,3528.0,3863.0,4434.666666666667,4563.625,705.1631209683829,3544,3568.197
2024-01-01 04:00:00,4,0,1,1,0,-0.2,0.0,98.0,0.0,0.0,18.2,0,0.2666666666666606,0.6920000000000002,3544.0,4002.0,3430.0,3766.0,4178.166666666667,4564.291666666667,704.1482970762052,3431,3435.197
2024-01-01 05:00:00,5,0,1,1,0,0.3,0.0,99.0,0.0,0.0,17.7,0,0.03333333333332727,0.6280000000000001,3431.0,3757.0,3423.0,3769.0,3938.0,4564.333333333333,704.0782853376571,3416,3401.6333
2024-01-01 06:00:00,6,0,1,1,0,0.5,0.0,99.0,0.0,0.0,17.5,0,-6.087722918361275e-15,0.5640000000000001,3416.0,3544.0,3528.0,3899.0,3741.3333333333335,4564.041666666667,704.5729190001296,3524,3564.6018
2024-01-01 07:00:00,7,0,1,1,0,0.4,0.0,98.0,0.0,0.0,17.6,0,0.19999999999999393,0.5,3524.0,3431.0,3736.0,4131.0,3612.3333333333335,4563.875,704.8290765667024,3730,3948.1172
2024-01-01 08:00:00,8,0,1,1,0,0.2,0.0,98.0,0.0,0.0,17.8,0,0.39999999999999397,0.5,3730.0,3416.0,4008.0,4441.0,3567.0,4563.625,705.1364846300886,3959,4222.6953
2024-01-01 09:00:00,9,0,1,1,0,0.6,0.0,99.0,0.27,0.0,17.4,0,0.36666666666666065,0.5,3959.0,3524.0,4381.0,4876.0,3600.6666666666665,4561.583333333333,706.8839715790135,4259,4370.678
2024-01-01 10:00:00,10,0,1,1,0,2.4,0.0,95.0,0.82,0.0,15.6,0,0.3999999999999939,0.6,4259.0,3730.0,4796.0,5339.0,3719.8333333333335,4556.5,708.6754331604661,4518,4544.66
2024-01-01 11:00:00,11,0,1,1,0,4.4,0.0,82.0,1.36,0.0,13.6,0,1.0666666666666604,2.4,4518.0,3959.0,5151.0,5722.0,3901.0,4544.916666666667,706.8602295064612,4711,4632.9854
2024-01-01 12:00:00,12,0,1,1,0,5.7,0.0,73.0,1.7,0.0,12.3,0,2.4666666666666606,4.4,4711.0,4259.0,5228.0,5801.0,4116.833333333333,4526.583333333333,696.0810120684757,4738,4723.2847
2024-01-01 13:00:00,13,0,1,1,0,7.3,0.0,70.0,1.87,0.0,10.7,0,4.166666666666661,5.7,4738.0,4518.0,5274.0,5791.0,4319.166666666667,4506.166666666667,681.6498314776996,4784,4644.6875
2024-01-01 14:00:00,14,0,1,1,1,6.5,0.0,68.0,0.65,0.0,11.5,0,5.799999999999994,7.3,4784.0,4711.0,5255.0,5739.0,4494.833333333333,4485.75,664.7813795592106,4786,4765.7656
2024-01-01 15:00:00,15,0,1,1,1,6.4,0.0,68.0,0.5,0.0,11.6,0,6.499999999999994,7.3,4786.0,4738.0,5184.0,5691.0,4632.666666666667,4466.208333333333,647.8636450181334,4799,4781.123
2024-01-01 16:00:00,16,0,1,1,1,5.8,0.0,68.0,0.18,0.0,12.2,0,6.733333333333327,7.3,4799.0,4784.0,5077.0,5632.0,4722.666666666667,4450.166666666667,633.9344820532962,4840,4836.907
2024-01-01 17:00:00,17,0,1,1,1,5.5,0.0,71.0,0.08,0.0,12.5,0,6.233333333333327,7.3,4840.0,4786.0,5096.0,5661.0,4776.333333333333,4440.291666666667,625.5358384176528,4927,4874.2603
2024-01-01 18:00:00,18,0,1,1,0,4.9,0.0,71.0,0.01,0.0,13.1,0,5.899999999999994,7.3,4927.0,4799.0,5263.0,5861.0,4812.333333333333,4433.25,618.7479819905186,5134,5032.305
2024-01-01 19:00:00,19,0,1,1,0,4.6,0.0,72.0,0.0,0.0,13.4,0,5.399999999999994,7.3,5134.0,4840.0,5327.0,5917.0,4878.333333333333,4427.875,611.7473414593284,5223,5199.0786
2024-01-01 20:00:00,20,0,1,1,0,4.4,0.0,75.0,0.0,0.0,13.6,0,4.999999999999994,6.5,5223.0,4927.0,5234.0,5801.0,4951.5,4423.541666666667,605.4372461766109,5151,5147.264
2024-01-01 21:00:00,21,0,1,1,0,4.3,0.0,77.0,0.0,0.0,13.7,0,4.6333333333333275,6.4,5151.0,5134.0,5083.0,5612.0,5012.333333333333,4420.083333333333,600.8260195739265,5019,5020.9526
2024-01-01 22:00:00,22,0,1,1,0,4.1,0.0,79.0,0.0,0.0,13.9,0,4.433333333333327,5.8,5019.0,5223.0,4872.0,5333.0,5049.0,4417.416666666667,597.890706652475,4802,4773.398
2024-01-01 23:00:00,23,0,1,1,0,3.9,0.0,82.0,0.0,0.0,14.1,0,4.2666666666666595,5.5,4802.0,5151.0,4596.0,4953.0,5042.666666666667,4414.5,595.7435981884784,4477,4434.7954
2024-01-02 00:00:00,0,1,1,0,0,3.7,0.0,82.0,0.0,0.0,14.3,0,4.099999999999993,4.9,4477.0,5019.0,4298.0,4581.0,4967.666666666667,4409.541666666667,594.6615390408554,4135,4169.533
2024-01-02 01:00:00,1,1,1,0,0,3.5,0.0,85.0,0.0,0.0,14.5,0,3.8999999999999937,4.6,4135.0,4802.0,4002.0,4191.0,4801.166666666667,4402.75,596.917389230003,3778,3784.4739
2024-01-02 02:00:00,2,1,1,0,0,3.3,0.0,86.0,0.0,0.0,14.7,0,3.699999999999994,4.4,3778.0,4477.0,3757.0,3928.0,4560.333333333333,4393.416666666667,605.1503526193363,3530,3522.0696
2024-01-02 03:00:00,3,1,1,0,0,3.0,0.0,80.0,0.0,0.0,15.0,0,3.4999999999999933,4.3,3530.0,4135.0,3544.0,3766.0,4290.166666666667,4383.958333333333,617.1841722988171,3392,3422.478
2024-01-02 04:00:00,4,1,1,0,0,2.8,0.0,82.0,0.0,0.0,15.2,0,3.2666666666666604,4.1,3392.0,3778.0,3431.0,3696.0,4019.0,4377.625,626.881988235311,3340,3348.8923
2024-01-02 05:00:00,5,1,1,0,0,2.4,0.0,84.0,0.0,0.0,15.6,0,3.0333333333333274,3.9,3340.0,3530.0,3416.0,3751.0,3775.3333333333335,4373.833333333333,633.1009031924782,3406,3425.0754
2024-01-02 06:00:00,6,1,1,0,0,2.3,0.0,84.0,0.0,0.0,15.7,0,2.733333333333327,3.7,3406.0,3392.0,3524.0,4057.0,3596.8333333333335,4373.416666666667,633.7616419763214,3715,3667.7366
2024-01-02 07:00:00,7,1,1,0,0,2.2,0.0,82.0,0.0,0.0,15.8,0,2.4999999999999933,3.5,3715.0,3340.0,3730.0,4715.0,3526.8333333333335,4381.375,623.7516794435422,4356,4275.33
2024-01-02 08:00:00,8,1,1,0,0,2.3,0.0,77.0,0.0,0.0,15.7,0,2.299999999999994,3.3,4356.0,3406.0,3959.0,5670.0,3623.1666666666665,4407.458333333333,608.2243564290804,5228,4855.099
2024-01-02 09:00:00,9,1,1,0,0,2.3,0.0,75.0,0.12,0.0,15.7,0,2.2666666666666604,3.0,5228.0,3715.0,4259.0,6806.0,3906.1666666666665,4460.333333333333,622.5342083610026,6236,6057.454
