기간,원자력,태양,풍력,수력,해양,바이오,합계
2026-01-01,90.78759367,96.774667,102.4213439,125.1179267,101.1943364,141.6893663,125.0878166
2025-12-01,100.0388086,94.6877359,87.3302346,111.62678,0,131.2272328,119.5536377
2025-11-01,66.14657457,96.2855969,93.1972502,109.3081057,108.3333333,133.1872217,107.5205707
2025-10-01,62.49469814,107.9144176,99.8874244,110.9013982,124.1813602,134.4662142,107.3949167
2025-09-01,73.38623475,124.076943,108.3513681,128.0003625,105.7967836,157.1364036,123.3292104
2025-08-01,80.65156433,122.2732191,116.2333415,135.8389879,0,162.5957585,131.675167
2025-07-01,82.85778452,127.7550521,116.0399627,140.3132741,0,155.7175241,134.493101
2025-06-01,79.14555459,126.0867862,116.4993675,132.6206619,0,139.9437322,125.7175783
2025-05-01,79.95032325,130.5487259,123.5513313,134.6367261,0,154.8248294,126.4738319
2025-04-01,79.59336966,131.6295524,121.1307424,135.7581446,26.830006,157.3952791,126.920746
2025-03-01,75.71060612,114.7256124,112.6516669,130.2245392,100.2898075,155.1717532,120.3177695
2025-02-01,81.46645581,124.0028245,115.4300653,141.3609761,0,153.6275407,131.4649682
2025-01-01,82.67853476,125.831473,111.7042546,142.4239731,0,152.3467915,134.1456224
2024-12-01,71.93878545,131.0221849,110.9996257,142.2703962,145.8333333,145.216785,129.2766013
2024-11-01,53.8835485,117.788266,112.9740524,129.6225259,0,142.4511611,108.6893311
2024-10-01,52.9801594,126.9110191,115.4895634,133.0806057,0,146.1403446,106.6421545
2024-09-01,78.02183388,145.7830468,136.0294787,154.6104365,132.5549092,165.0917841,139.8892873
2024-08-01,86.20784928,154.4050016,142.9246614,163.340777,139.7931944,172.8780209,152.857512
2024-07-01,79.92297273,143.6402183,129.606356,147.1934597,124.9172773,158.6347281,141.2654077
2024-06-01,71.41963265,135.3924751,122.0634779,138.9399127,118.370072,145.5711009,127.7848
2024-05-01,69.13790444,132.9549548,121.9188688,135.1110103,120.0950578,140.5148949,121.6551207
2024-04-01,68.2872885,125.521347,127.7040815,133.1746976,121.5703542,152.5196043,123.8433287
2024-03-01,52.35461683,130.9550288,131.1474633,151.7656255,133.5003653,166.8502924,122.1321908
2024-02-01,51.03664742,121.0304827,114.8430601,140.8190351,116.9117586,145.7380856,117.5699188
2024-01-01,59.3492091,152.1075082,135.3318994,164.63062,139.0210726,171.4290379,135.4499139
2023-12-01,92.29871209,140.354227,128.723727,150.4562479,130.4553197,166.7071625,128.5008274
2023-11-01,56.78328865,132.4274184,117.8630583,141.248791,119.196298,165.2804762,109.9501555
2023-10-01,59.22792438,147.110196,136.2930905,154.3889236,134.0679455,183.1136251,118.2219236
2023-09-01,61.2259686,149.4109189,138.7655501,152.2015622,131.8180104,183.4884079,129.2364079
2023-08-01,65.75072114,159.7117636,149.5889601,163.2870303,137.9842657,201.7706742,141.0099781
2023-07-01,67.56065958,166.8413012,149.6603109,164.8795043,143.0117629,209.7572178,141.6653244
2023-06-01,38.86655642,153.6640419,145.5831334,165.5033332,138.9352297,190.4297812,125.76924
2023-05-01,34.58988607,149.5898855,140.5474813,157.4355564,137.4613282,182.0679164,118.4674648
2023-04-01,37.02148593,156.4097526,156.706865,170.2258635,155.8334737,199.6241028,127.808506
2023-03-01,50.54938376,213.5341782,211.3318321,240.6177049,214.0199361,246.9369296,169.528902
2023-02-01,43.66950072,165.4043448,173.6366342,175.8422901,161.1878397,239.318134,166.0088193
2023-01-01,43.9260051,162.4324453,168.0688495,175.3950068,158.9429887,233.4540652,163.4044865
2022-12-01,50.44373664,163.4405759,169.0145082,186.3384452,158.9600001,220.3525269,176.4160161
2022-11-01,48.91459949,250.0844148,237.7298556,266.4930195,234.2444122,279.4033198,177.1295958
2022-10-01,48.38090148,266.359538,247.8002876,270.8119342,243.775297,282.7629532,176.9807137
2022-09-01,48.32274086,244.0199903,232.0324748,240.4131384,221.586837,281.3719841,175.6627394
2022-08-01,60.90109806,212.1065517,207.3574277,218.3753285,186.8689821,251.9965759,175.3983231
2022-07-01,51.96107095,156.2395964,168.7756889,174.2494558,145.3194779,202.1244317,138.3060219
2022-06-01,38.45303696,131.6858438,139.0968938,139.8682733,125.5456674,175.8977555,108.1823876
2022-05-01,39.373545,139.2872717,151.0855232,145.486419,138.0382226,183.7232655,110.7295217
2022-04-01,53.33556265,197.431906,206.1552343,209.0807963,202.5663721,232.5768493,153.2377963
2022-03-01,59.28093311,193.7902653,197.4876708,201.0173844,194.0881218,177.3709594,150.0786851
2022-02-01,67.89325523,195.0779799,196.5422268,220.7008202,193.362146,226.9019793,157.3895292
2022-01-01,61.51077446,149.9032631,161.3243035,181.7729342,149.900743,209.016774,135.0075958
2021-12-01,50.52155116,142.9708934,145.9668974,168.595562,143.2691343,193.5938011,124.4420281
2021-11-01,41.29019969,126.0263428,129.7620258,140.5176182,128.4843814,167.2980323,107.6917352
2021-10-01,35.11724932,107.6870834,110.9011524,114.7122187,107.762015,148.2534954,90.25891547
2021-09-01,32.73956963,98.7486589,101.463034,109.286731,93.3115041,150.9063846,88.61675831
2021-08-01,40.96712466,97.9217532,100.6966453,114.3666258,91.6457939,156.9421563,98.65633919
2021-07-01,64.28444661,91.1038748,92.7691576,104.7650569,85.034383,143.1479522,99.35025364
2021-06-01,69.58648274,83.9480494,86.6447626,90.841921,81.2522193,125.5730799,90.07003271
2021-05-01,64.65028547,78.9494258,80.7813857,83.6318539,78.3327445,105.5119336,82.72659476
2021-04-01,62.56654164,76.3390076,80.4286326,80.112759,75.8615521,108.3025777,78.80157328
2021-03-01,69.46125877,84.7436246,89.0449282,90.276577,83.7674624,115.3754744,87.9633616
2021-02-01,71.78331426,75.4763941,77.9342498,93.7884159,74.6225484,106.0642209,91.38966778
2021-01-01,72.4734479,71.1561103,72.3024792,93.1534387,70.6775058,106.5150593,92.30384144
2020-12-01,72.90218268,67.9994376,68.5364219,86.4285444,67.0702582,96.8950956,86.52759924
2020-11-01,51.0150919,50.138325,51.221579,60.3894882,49.6585309,80.91802,60.17182143
2020-10-01,49.90747073,50.8225753,53.1987195,56.1912754,50.2217404,87.3815148,57.3072895
2020-09-01,57.44038627,57.7041217,59.7138503,64.3811595,54.9485098,98.1468406,68.87438761
2020-08-01,69.72101125,67.8548726,68.0315676,75.4080242,60.2895037,117.8475992,84.66991751
2020-07-01,76.55064612,76.8904815,74.0650578,89.4382909,66.951593,127.3899016,95.16634068
2020-06-01,61.47366731,74.6671376,73.7871585,84.2684276,66.60303,113.3397546,79.97339974
2020-05-01,46.45436493,73.9331088,75.5889398,79.5180555,69.5839889,128.8337868,71.34236109
2020-04-01,48.92232611,76.0795247,83.5018909,82.5102917,73.4753404,133.9894487,75.12095733
2020-03-01,56.37741527,83.7962313,86.8002752,93.9604793,83.2074978,123.0418858,84.76080081
2020-02-01,60.74314064,82.2979861,85.4858265,101.3488709,81.5065487,130.4367218,92.8150798
2020-01-01,65.1539579,84.9784625,88.7479951,108.0658468,83.7964788,145.5593347,99.99968264
2019-12-01,81.28033039,86.0766053,92.8751569,106.7411254,83.6389639,130.4606549,96.40268309
2019-11-01,64.31181087,85.6266715,97.3793158,91.7989242,81.1828548,116.3022905,83.53307656
2019-10-01,52.6415696,92.5919745,104.2710233,94.7011157,86.5278544,122.7499076,80.23925411
2019-09-01,50.66897563,86.170724,97.9844201,91.700402,76.8721387,124.82314,78.08995621
2019-08-01,60.68451064,92.4127569,98.1485129,105.4536887,80.9963627,144.7820223,93.42257906
2019-07-01,57.34323416,87.0946742,91.6892455,100.6599858,75.8996228,123.1382424,90.23432103
2019-06-01,45.0403618,84.4047297,93.2675302,88.8156986,75.5521296,106.1640486,75.07439809
2019-05-01,43.4928264,84.0292558,89.7711386,85.9818743,78.1142938,109.2643718,70.08884097
2019-04-01,52.8253925,102.5761929,107.0672702,106.4156496,98.8300158,116.5698597,84.1989103
2019-03-01,61.98500745,112.9855635,118.3284394,126.443324,112.6414028,111.4654655,97.91755394
2019-02-01,64.60272859,104.4627683,111.7455711,130.9134399,103.5805744,103.6562032,103.1325267
2019-01-01,71.51296183,113.2553764,120.4970241,139.2841888,110.6463184,110.6451679,112.771223
2018-12-01,71.86873338,112.1424823,124.1732625,130.4271302,108.8073005,109.3290902,99.16537552
2018-11-01,62.60193131,108.6343626,115.7744675,115.1468976,104.6035921,104.3978719,87.78228237
2018-10-01,58.21142931,105.5499734,113.275904,109.0091502,101.5804373,101.6425975,82.28742315
2018-09-01,55.48334474,96.0507334,106.536495,103.9033711,89.1024257,89.6579338,80.58055058
2018-08-01,61.73313945,98.0847081,107.1180286,109.8477267,87.8126714,89.8456742,89.64482117
2018-07-01,63.11517154,94.9825245,97.916206,102.7867894,82.6561896,85.4936379,92.19713913
2018-06-01,60.04301175,93.4437121,97.8704585,100.003597,87.753841,89.1190117,86.89488597
2018-05-01,55.35784803,90.1977057,94.9564306,94.3036837,86.1605251,87.5123154,80.42395969
2018-04-01,57.58065783,92.9296728,96.6900073,97.5972775,90.057801,90.7226994,83.92871967
2018-03-01,67.52618931,102.5871053,106.959316,114.0962165,100.7062749,101.210552,98.68231102
2018-02-01,64.04876615,90.0812438,98.705369,110.8664641,88.4955692,90.0253186,95.10424298
2018-01-01,68.10434226,93.6985842,101.877064,115.1818481,91.4174153,91.8578763,99.59004858
2017-12-01,81.15629745,92.6292434,97.8695739,110.894261,90.0512352,90.6022505,93.76153364
2017-11-01,68.99004843,82.9513715,87.5330139,92.0234344,80.7730631,81.2613422,80.04898968
2017-10-01,48.26462948,75.8617604,87.0269097,80.3674434,69.6441047,71.0843711,68.75574717
2017-09-01,52.29107606,78.8528168,83.7433205,87.850294,70.677925,72.1193979,74.42505777
2017-08-01,57.22600026,83.5173589,85.0458724,90.7314838,72.901429,75.5158122,81.17788294
2017-07-01,57.70714582,83.8239372,82.033617,92.2976703,73.823237,75.7739645,81.3108728
2017-06-01,59.36753472,86.4791703,91.6492214,97.411108,79.8097421,82.1225134,83.995183
2017-05-01,53.09978672,81.1705218,83.0064206,87.9884475,77.1242296,78.5063219,75.17539205
2017-04-01,51.35821394,76.8812808,85.4003677,82.0109086,74.4498968,75.298629,72.13873888
