기준일자,기준시,본부명,전력사용량(MWh),고객호수
2022-01-01,1,남서울본부,2247,846023
2022-01-01,2,남서울본부,2109,846025
2022-01-01,3,남서울본부,2018,846945
2022-01-01,4,남서울본부,1974,846913
2022-01-01,5,남서울본부,1973,846901
2022-01-01,6,남서울본부,2042,846683
2022-01-01,7,남서울본부,2154,846481
2022-01-01,8,남서울본부,2289,846166
2022-01-01,9,남서울본부,2467,845917
2022-01-01,10,남서울본부,2627,846072
2022-01-01,11,남서울본부,2739,843374
2022-01-01,12,남서울본부,2746,843621
2022-01-01,13,남서울본부,2726,846255
2022-01-01,14,남서울본부,2688,846179
2022-01-01,15,남서울본부,2649,846245
2022-01-01,16,남서울본부,2631,844702
2022-01-01,17,남서울본부,2661,844246
2022-01-01,18,남서울본부,2764,846260
2022-01-01,19,남서울본부,2811,846313
2022-01-01,20,남서울본부,2748,846239
2022-01-01,21,남서울본부,2318,842633
2022-01-01,22,남서울본부,1888,824402
2022-01-01,23,남서울본부,1809,825042
2022-01-01,24,남서울본부,1771,825774
2022-01-02,1,남서울본부,1686,828246
2022-01-02,2,남서울본부,1636,828932
2022-01-02,3,남서울본부,1643,829866
2022-01-02,4,남서울본부,1663,830722
2022-01-02,5,남서울본부,1708,831352
2022-01-02,6,남서울본부,1825,831723
2022-01-02,7,남서울본부,1972,831969
2022-01-02,8,남서울본부,2134,833103
2022-01-02,9,남서울본부,2333,834677
2022-01-02,10,남서울본부,2546,837193
2022-01-02,11,남서울본부,2725,839285
2022-01-02,12,남서울본부,2762,840760
2022-01-02,13,남서울본부,2756,841139
2022-01-02,14,남서울본부,2725,840848
2022-01-02,15,남서울본부,2695,840679
2022-01-02,16,남서울본부,2691,841082
2022-01-02,17,남서울본부,2733,841363
2022-01-02,18,남서울본부,2862,841491
2022-01-02,19,남서울본부,2928,841945
2022-01-02,20,남서울본부,2880,842463
2022-01-02,21,남서울본부,2774,843218
2022-01-02,22,남서울본부,2618,844805
2022-01-02,23,남서울본부,2442,844409
