기준일자,기준시,본부명,전력사용량(MWh),고객호수
2022-01-01,1,남서울본부,2247,846023
2022-01-01,1,서울본부,1737,832695
2022-01-01,2,남서울본부,2109,846025
2022-01-01,2,서울본부,1615,831794
2022-01-01,3,남서울본부,2018,846945
2022-01-01,3,서울본부,1538,832517
2022-01-01,4,남서울본부,1974,846913
2022-01-01,4,서울본부,1500,833031
2022-01-01,5,남서울본부,1973,846901
2022-01-01,5,서울본부,1502,832522
2022-01-01,6,남서울본부,2042,846683
2022-01-01,6,서울본부,1553,832436
2022-01-01,7,남서울본부,2154,846481
2022-01-01,7,서울본부,1633,832882
2022-01-01,8,남서울본부,2289,846166
2022-01-01,8,서울본부,1725,832184
2022-01-01,9,남서울본부,2467,845917
2022-01-01,9,서울본부,1865,831420
2022-01-01,10,남서울본부,2627,846072
2022-01-01,10,서울본부,1999,831702
2022-01-01,11,남서울본부,2739,843374
2022-01-01,11,서울본부,2082,832200
2022-01-01,12,남서울본부,2746,843621
2022-01-01,12,서울본부,2101,832813
2022-01-01,13,남서울본부,2726,846255
2022-01-01,13,서울본부,2086,832639
2022-01-01,14,남서울본부,2688,846179
2022-01-01,14,서울본부,2052,832639
2022-01-01,15,남서울본부,2649,846245
2022-01-01,15,서울본부,2024,832858
2022-01-01,16,남서울본부,2631,844702
2022-01-01,16,서울본부,2006,832793
2022-01-01,17,남서울본부,2661,844246
2022-01-01,17,서울본부,2029,833060
2022-01-01,18,남서울본부,2764,846260
2022-01-01,18,서울본부,2115,832558
2022-01-01,19,남서울본부,2811,846313
2022-01-01,19,서울본부,2147,832480
2022-01-01,20,남서울본부,2748,846239
2022-01-01,20,서울본부,2105,832906
2022-01-01,21,남서울본부,2318,842633
2022-01-01,21,서울본부,1852,829278
2022-01-01,22,남서울본부,1888,824402
2022-01-01,22,서울본부,1607,821787
2022-01-01,23,남서울본부,1809,825042
2022-01-01,23,서울본부,1543,822642
2022-01-01,24,남서울본부,1771,825774
2022-01-01,24,서울본부,1487,823541
2022-01-02,1,남서울본부,1686,828246
2022-01-02,1,서울본부,1399,823720
2022-01-02,2,남서울본부,1636,828932
2022-01-02,2,서울본부,1343,824096
2022-01-02,3,남서울본부,1643,829866
2022-01-02,3,서울본부,1318,824988
2022-01-02,4,남서울본부,1663,830722
2022-01-02,4,서울본부,1310,825598
2022-01-02,5,남서울본부,1708,831352
2022-01-02,5,서울본부,1329,825626
2022-01-02,6,남서울본부,1825,831723
2022-01-02,6,서울본부,1402,825472
2022-01-02,7,남서울본부,1972,831969
2022-01-02,7,서울본부,1505,826224
2022-01-02,8,남서울본부,2134,833103
2022-01-02,8,서울본부,1616,826608
2022-01-02,9,남서울본부,2333,834677
2022-01-02,9,서울본부,1777,827105
2022-01-02,10,남서울본부,2546,837193
2022-01-02,10,서울본부,1949,828214
2022-01-02,11,남서울본부,2725,839285
2022-01-02,11,서울본부,2081,828305
2022-01-02,12,남서울본부,2762,840760
2022-01-02,12,서울본부,2113,829455
2022-01-02,13,남서울본부,2756,841139
2022-01-02,13,서울본부,2102,829899
2022-01-02,14,남서울본부,2725,840848
2022-01-02,14,서울본부,2072,829876
2022-01-02,15,남서울본부,2695,840679
2022-01-02,15,서울본부,2051,830235
2022-01-02,16,남서울본부,2691,841082
2022-01-02,16,서울본부,2047,830747
2022-01-02,17,남서울본부,2733,841363
2022-01-02,17,서울본부,2074,830399
2022-01-02,18,남서울본부,2862,841491
2022-01-02,18,서울본부,2182,830278
2022-01-02,19,남서울본부,2928,841945
2022-01-02,19,서울본부,2233,830533
2022-01-02,20,남서울본부,2880,842463
2022-01-02,20,서울본부,2198,831456
2022-01-02,21,남서울본부,2774,843218
2022-01-02,21,서울본부,2118,831831
2022-01-02,22,남서울본부,2618,844805
2022-01-02,22,서울본부,1996,832152
2022-01-02,23,남서울본부,2442,844409
2022-01-02,23,서울본부,1870,832998
2022-01-02,24,남서울본부,2280,846411
2022-01-02,24,서울본부,1743,832340
2022-01-03,1,남서울본부,2091,846892
2022-01-03,1,서울본부,1586,832266
2022-01-03,2,남서울본부,1986,846535
2022-01-03,2,서울본부,1491,832115
2022-01-03,3,남서울본부,1927,846487
2022-01-03,3,서울본부,1442,832850
2022-01-03,4,남서울본부,1912,846872
2022-01-03,4,서울본부,1426,833029
2022-01-03,5,남서울본부,1953,842454
2022-01-03,5,서울본부,1458,832602
2022-01-03,6,남서울본부,2129,842131
2022-01-03,6,서울본부,1601,832314
2022-01-03,7,남서울본부,2486,846606
2022-01-03,7,서울본부,1853,832276
2022-01-03,8,남서울본부,2981,846068
2022-01-03,8,서울본부,2183,831367
2022-01-03,9,남서울본부,3581,845780
2022-01-03,9,서울본부,2616,831257
2022-01-03,10,남서울본부,4052,846153
2022-01-03,10,서울본부,2969,831939
2022-01-03,11,남서울본부,4215,846401
2022-01-03,11,서울본부,3080,831781
2022-01-03,12,남서울본부,4163,846149
2022-01-03,12,서울본부,3063,831551
2022-01-03,13,남서울본부,4059,846030
2022-01-03,13,서울본부,2986,831604
2022-01-03,14,남서울본부,4001,842359
2022-01-03,14,서울본부,2939,831798
2022-01-03,15,남서울본부,3931,842541
2022-01-03,15,서울본부,2896,831790
2022-01-03,16,남서울본부,3857,841031
2022-01-03,16,서울본부,2850,831720
2022-01-03,17,남서울본부,3833,839889
2022-01-03,17,서울본부,2830,832280
2022-01-03,18,남서울본부,3823,844501
2022-01-03,18,서울본부,2826,832185
2022-01-03,19,남서울본부,3593,846295
2022-01-03,19,서울본부,2665,831575
2022-01-03,20,남서울본부,3342,844663
2022-01-03,20,서울본부,2494,832013
2022-01-03,21,남서울본부,3098,844727
2022-01-03,21,서울본부,2330,832318
2022-01-03,22,남서울본부,2790,846380
2022-01-03,22,서울본부,2114,832105
2022-01-03,23,남서울본부,2500,844285
2022-01-03,23,서울본부,1914,832272
2022-01-03,24,남서울본부,2293,844583
2022-01-03,24,서울본부,1763,831778
2022-01-04,1,남서울본부,2094,846471
2022-01-04,1,서울본부,1593,832187
2022-01-04,2,남서울본부,1963,846448
2022-01-04,2,서울본부,1488,832801
2022-01-04,3,남서울본부,1908,846492
2022-01-04,3,서울본부,1439,833256
2022-01-04,4,남서울본부,1893,846567
2022-01-04,4,서울본부,1423,832995
2022-01-04,5,남서울본부,1940,846726
2022-01-04,5,서울본부,1453,832626
2022-01-04,6,남서울본부,2103,846681
2022-01-04,6,서울본부,1580,832436
2022-01-04,7,남서울본부,2444,846536
2022-01-04,7,서울본부,1825,832567
2022-01-04,8,남서울본부,2913,846316
2022-01-04,8,서울본부,2151,831840
2022-01-04,9,남서울본부,3477,846121
2022-01-04,9,서울본부,2566,831503
2022-01-04,10,남서울본부,3915,846196
2022-01-04,10,서울본부,2894,831815
2022-01-04,11,남서울본부,4073,842355
2022-01-04,11,서울본부,3004,831990
2022-01-04,12,남서울본부,4040,846068
2022-01-04,12,서울본부,2988,831827
2022-01-04,13,남서울본부,3942,846090
2022-01-04,13,서울본부,2910,831296
2022-01-04,14,남서울본부,3904,846281
2022-01-04,14,서울본부,2884,831673
2022-01-04,15,남서울본부,3839,843944
2022-01-04,15,서울본부,2843,831217
2022-01-04,16,남서울본부,3779,843888
2022-01-04,16,서울본부,2799,830610
2022-01-04,17,남서울본부,3768,844410
2022-01-04,17,서울본부,2789,830604
2022-01-04,18,남서울본부,3789,844237
2022-01-04,18,서울본부,2808,831435
2022-01-04,19,남서울본부,3617,845901
2022-01-04,19,서울본부,2693,831437
2022-01-04,20,남서울본부,3403,845699
2022-01-04,20,서울본부,2544,831680
2022-01-04,21,남서울본부,3163,846069
2022-01-04,21,서울본부,2384,831955
2022-01-04,22,남서울본부,2856,845992
2022-01-04,22,서울본부,2171,832085
2022-01-04,23,남서울본부,2566,845961
2022-01-04,23,서울본부,1968,832340
2022-01-04,24,남서울본부,2356,846561
2022-01-04,24,서울본부,1818,832246
2022-01-05,1,남서울본부,2155,846612
2022-01-05,1,서울본부,1649,831497
2022-01-05,2,남서울본부,2027,846463
2022-01-05,2,서울본부,1542,831371
2022-01-05,3,남서울본부,1962,846496
2022-01-05,3,서울본부,1485,832213
2022-01-05,4,남서울본부,1942,846603
2022-01-05,4,서울본부,1466,831621
2022-01-05,5,남서울본부,1981,846689
2022-01-05,5,서울본부,1494,831513
2022-01-05,6,남서울본부,2144,846730
2022-01-05,6,서울본부,1621,832040
2022-01-05,7,남서울본부,2481,842860
2022-01-05,7,서울본부,1862,831921
2022-01-05,8,남서울본부,2943,841074
2022-01-05,8,서울본부,2180,831315
2022-01-05,9,남서울본부,3532,844807
2022-01-05,9,서울본부,2601,830853
2022-01-05,10,남서울본부,3987,846306
2022-01-05,10,서울본부,2935,830514
2022-01-05,11,남서울본부,4156,846295
2022-01-05,11,서울본부,3056,830438
2022-01-05,12,남서울본부,4128,846212
2022-01-05,12,서울본부,3050,831143
2022-01-05,13,남서울본부,4031,846330
2022-01-05,13,서울본부,2982,831431
2022-01-05,14,남서울본부,3977,838512
2022-01-05,14,서울본부,2943,831062
2022-01-05,15,남서울본부,3901,838450
2022-01-05,15,서울본부,2892,831059
2022-01-05,16,남서울본부,3823,846207
2022-01-05,16,서울본부,2843,831158
2022-01-05,17,남서울본부,3793,845840
2022-01-05,17,서울본부,2820,831116
2022-01-05,18,남서울본부,3785,845690
2022-01-05,18,서울본부,2813,830952
2022-01-05,19,남서울본부,3580,845875
2022-01-05,19,서울본부,2667,831163
2022-01-05,20,남서울본부,3350,843841
2022-01-05,20,서울본부,2514,831435
2022-01-05,21,남서울본부,3107,843801
2022-01-05,21,서울본부,2348,830492
2022-01-05,22,남서울본부,2799,846160
2022-01-05,22,서울본부,2122,830982
2022-01-05,23,남서울본부,2518,846259
2022-01-05,23,서울본부,1924,831505
2022-01-05,24,남서울본부,2313,846494
2022-01-05,24,서울본부,1777,831727
2022-01-06,1,남서울본부,2109,846639
2022-01-06,1,서울본부,1605,832167
2022-01-06,2,남서울본부,1996,846642
2022-01-06,2,서울본부,1502,831825
2022-01-06,3,남서울본부,1933,846568
2022-01-06,3,서울본부,1455,832394
2022-01-06,4,남서울본부,1910,846507
2022-01-06,4,서울본부,1434,832947
2022-01-06,5,남서울본부,1949,846688
2022-01-06,5,서울본부,1463,832668
2022-01-06,6,남서울본부,2116,846612
2022-01-06,6,서울본부,1590,831869
2022-01-06,7,남서울본부,2445,846465
2022-01-06,7,서울본부,1824,831904
2022-01-06,8,남서울본부,2898,841023
2022-01-06,8,서울본부,2138,831499
2022-01-06,9,남서울본부,3453,840931
2022-01-06,9,서울본부,2543,830906
2022-01-06,10,남서울본부,3877,846086
2022-01-06,10,서울본부,2856,830957
2022-01-06,11,남서울본부,4008,842865
2022-01-06,11,서울본부,2954,831316
2022-01-06,12,남서울본부,3958,842937
2022-01-06,12,서울본부,2923,831504
2022-01-06,13,남서울본부,3859,846043
2022-01-06,13,서울본부,2843,831496
2022-01-06,14,남서울본부,3808,844438
2022-01-06,14,서울본부,2800,831478
2022-01-06,15,남서울본부,3734,844540
2022-01-06,15,서울본부,2760,830997
2022-01-06,16,남서울본부,3671,846183
2022-01-06,16,서울본부,2722,830985
2022-01-06,17,남서울본부,3662,845869
2022-01-06,17,서울본부,2714,831531
2022-01-06,18,남서울본부,3690,845832
2022-01-06,18,서울본부,2739,831521
2022-01-06,19,남서울본부,3532,846014
2022-01-06,19,서울본부,2624,831322
2022-01-06,20,남서울본부,3337,846107
2022-01-06,20,서울본부,2491,831710
2022-01-06,21,남서울본부,3114,846031
2022-01-06,21,서울본부,2337,831411
2022-01-06,22,남서울본부,2814,846246
2022-01-06,22,서울본부,2122,831065
2022-01-06,23,남서울본부,2535,846368
2022-01-06,23,서울본부,1934,831207
2022-01-06,24,남서울본부,2324,846481
2022-01-06,24,서울본부,1787,831290
2022-01-07,1,남서울본부,2121,844470
2022-01-07,1,서울본부,1614,831348
2022-01-07,2,남서울본부,1991,843840
2022-01-07,2,서울본부,1507,831272
2022-01-07,3,남서울본부,1930,844699
2022-01-07,3,서울본부,1457,831725
2022-01-07,4,남서울본부,1911,846574
2022-01-07,4,서울본부,1437,832260
2022-01-07,5,남서울본부,1957,846454
2022-01-07,5,서울본부,1464,831886
2022-01-07,6,남서울본부,2118,846417
2022-01-07,6,서울본부,1588,831508
2022-01-07,7,남서울본부,2442,846243
2022-01-07,7,서울본부,1822,831609
2022-01-07,8,남서울본부,2888,845938
2022-01-07,8,서울본부,2137,831058
2022-01-07,9,남서울본부,3449,845993
2022-01-07,9,서울본부,2541,830378
2022-01-07,10,남서울본부,3857,845965
2022-01-07,10,서울본부,2852,830582
2022-01-07,11,남서울본부,3991,843028
2022-01-07,11,서울본부,2946,830610
2022-01-07,12,남서울본부,3933,845227
2022-01-07,12,서울본부,2913,830497
2022-01-07,13,남서울본부,3814,845939
2022-01-07,13,서울본부,2825,830659
2022-01-07,14,남서울본부,3752,846001
2022-01-07,14,서울본부,2782,831258
2022-01-07,15,남서울본부,3681,845926
2022-01-07,15,서울본부,2736,831452
2022-01-07,16,남서울본부,3612,845814
2022-01-07,16,서울본부,2684,830698
2022-01-07,17,남서울본부,3588,845756
2022-01-07,17,서울본부,2666,830940
2022-01-07,18,남서울본부,3596,845749
2022-01-07,18,서울본부,2686,831775
2022-01-07,19,남서울본부,3434,845691
2022-01-07,19,서울본부,2570,831767
2022-01-07,20,남서울본부,3229,845865
2022-01-07,20,서울본부,2430,831452
2022-01-07,21,남서울본부,3023,846053
2022-01-07,21,서울본부,2287,831352
2022-01-07,22,남서울본부,2729,846167
2022-01-07,22,서울본부,2078,831425
2022-01-07,23,남서울본부,2464,841069
2022-01-07,23,서울본부,1893,831205
2022-01-07,24,남서울본부,2280,841303
2022-01-07,24,서울본부,1760,831170
2022-01-08,1,남서울본부,2093,846196
2022-01-08,1,서울본부,1606,832324
2022-01-08,2,남서울본부,1966,846211
2022-01-08,2,서울본부,1496,832283
2022-01-08,3,남서울본부,1893,838016
2022-01-08,3,서울본부,1438,832264
2022-01-08,4,남서울본부,1859,838032
2022-01-08,4,서울본부,1407,831565
2022-01-08,5,남서울본부,1880,846429
2022-01-08,5,서울본부,1415,831551
2022-01-08,6,남서울본부,1977,846229
2022-01-08,6,서울본부,1482,831909
2022-01-08,7,남서울본부,2133,845728
2022-01-08,7,서울본부,1595,831696
2022-01-08,8,남서울본부,2329,845839
2022-01-08,8,서울본부,1740,831453
2022-01-08,9,남서울본부,2620,839399
2022-01-08,9,서울본부,1968,831237
2022-01-08,10,남서울본부,2937,839332
2022-01-08,10,서울본부,2214,831175
2022-01-08,11,남서울본부,3140,845770
2022-01-08,11,서울본부,2369,830984
2022-01-08,12,남서울본부,3139,845823
2022-01-08,12,서울본부,2376,831660
2022-01-08,13,남서울본부,3090,845753
2022-01-08,13,서울본부,2348,832363
2022-01-08,14,남서울본부,3022,840400
2022-01-08,14,서울본부,2298,832010
2022-01-08,15,남서울본부,2977,840488
2022-01-08,15,서울본부,2264,831573
