기준일자,기준시,본부명,전력사용량(MWh),고객호수
2022-01-01,1,서울본부,1737,832695
2022-01-01,2,서울본부,1615,831794
2022-01-01,3,서울본부,1538,832517
2022-01-01,4,서울본부,1500,833031
2022-01-01,5,서울본부,1502,832522
2022-01-01,6,서울본부,1553,832436
2022-01-01,7,서울본부,1633,832882
2022-01-01,8,서울본부,1725,832184
2022-01-01,9,서울본부,1865,831420
2022-01-01,10,서울본부,1999,831702
2022-01-01,11,서울본부,2082,832200
2022-01-01,12,서울본부,2101,832813
2022-01-01,13,서울본부,2086,832639
2022-01-01,14,서울본부,2052,832639
2022-01-01,15,서울본부,2024,832858
2022-01-01,16,서울본부,2006,832793
2022-01-01,17,서울본부,2029,833060
2022-01-01,18,서울본부,2115,832558
2022-01-01,19,서울본부,2147,832480
2022-01-01,20,서울본부,2105,832906
2022-01-01,21,서울본부,1852,829278
2022-01-01,22,서울본부,1607,821787
2022-01-01,23,서울본부,1543,822642
2022-01-01,24,서울본부,1487,823541
2022-01-02,1,서울본부,1399,823720
2022-01-02,2,서울본부,1343,824096
2022-01-02,3,서울본부,1318,824988
2022-01-02,4,서울본부,1310,825598
2022-01-02,5,서울본부,1329,825626
2022-01-02,6,서울본부,1402,825472
2022-01-02,7,서울본부,1505,826224
2022-01-02,8,서울본부,1616,826608
2022-01-02,9,서울본부,1777,827105
2022-01-02,10,서울본부,1949,828214
2022-01-02,11,서울본부,2081,828305
2022-01-02,12,서울본부,2113,829455
2022-01-02,13,서울본부,2102,829899
2022-01-02,14,서울본부,2072,829876
2022-01-02,15,서울본부,2051,830235
2022-01-02,16,서울본부,2047,830747
2022-01-02,17,서울본부,2074,830399
2022-01-02,18,서울본부,2182,830278
2022-01-02,19,서울본부,2233,830533
2022-01-02,20,서울본부,2198,831456
2022-01-02,21,서울본부,2118,831831
2022-01-02,22,서울본부,1996,832152
2022-01-02,23,서울본부,1870,832998
2022-01-02,24,서울본부,1743,832340
2022-01-03,1,서울본부,1586,832266
2022-01-03,2,서울본부,1491,832115
2022-01-03,3,서울본부,1442,832850
2022-01-03,4,서울본부,1426,833029
2022-01-03,5,서울본부,1458,832602
2022-01-03,6,서울본부,1601,832314
2022-01-03,7,서울본부,1853,832276
2022-01-03,8,서울본부,2183,831367
2022-01-03,9,서울본부,2616,831257
2022-01-03,10,서울본부,2969,831939
2022-01-03,11,서울본부,3080,831781
2022-01-03,12,서울본부,3063,831551
2022-01-03,13,서울본부,2986,831604
2022-01-03,14,서울본부,2939,831798
2022-01-03,15,서울본부,2896,831790
2022-01-03,16,서울본부,2850,831720
2022-01-03,17,서울본부,2830,832280
2022-01-03,18,서울본부,2826,832185
2022-01-03,19,서울본부,2665,831575
