다중지점통계
[검색조건]
,분류 : 지상
,요소 : 기온, 강수량
,검색구분 : 월
,지점명 : 서울
,기간 : 2023 ~ 2024  01~12

선택 전체 통계
일시,평균기온(℃),최고기온 평균(℃),최저기온 평균(℃),강수량(mm)
 2023-01,-1.5,3.2,-5.7,47.9
 2023-02,2.3,7.3,-1.9,1.0
 2023-03,9.8,16.2,4.2,10.5
 2023-04,13.8,19.0,8.8,96.9
 2023-05,19.5,25.0,14.6,155.6
 2023-06,23.4,27.9,19.7,195.6
 2023-07,26.7,30.2,23.9,459.9
 2023-08,27.2,30.8,24.3,298.1
 2023-09,23.7,27.6,20.2,134.5
 2023-10,15.8,21.0,11.5,31.0
 2023-11,6.8,11.5,2.9,81.9
 2023-12,1.1,5.2,-2.5,85.9
 2024-01,-0.5,3.6,-3.9,18.9
 2024-02,3.8,8.2,0.2,74.7
 2024-03,7.0,12.0,2.4,29.9
 2024-04,16.3,22.4,11.5,33.2
 2024-05,18.5,23.7,13.8,125.1
 2024-06,24.6,30.1,19.9,115.9
 2024-07,26.6,29.6,24.1,557.3
 2024-08,29.3,33.3,26.3,72.8
 2024-09,25.5,29.8,22.0,143.9
 2024-10,16.7,21.4,12.7,74.0
 2024-11,9.7,14.9,5.5,60.0
 2024-12,0.8,5.3,-2.9,5.7
 평균,14.5,19.1,10.5,121.3





