다중지점통계
[검색조건]
,분류 : 지상
,요소 : 기압
,검색구분 : 월
,지점명 : 서울
,기간 : 2023 ~ 2024  01~12



선텍 전체 통계
일시,평균현지기압(hPa),최고현지기압(hPa),최저현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa)
 2023-01,1013.7,1022.8,997.4,1024.6,1034.4,1007.7
 2023-02,1014.8,1027.2,1003.9,1025.6,1038.1,1014.4
 2023-03,1009.4,1020.0,993.9,1019.8,1030.8,1003.6
 2023-04,1004.0,1014.2,991.8,1014.2,1024.4,1001.8
 2023-05,1002.4,1013.7,989.7,1012.4,1023.8,999.5
 2023-06,996.5,1004.4,987.2,1006.2,1014.4,996.8
 2023-07,996.9,1005.8,981.4,1006.6,1015.6,990.9
 2023-08,995.1,1002.1,981.9,1004.8,1011.8,991.6
 2023-09,1002.5,1011.7,997.5,1012.3,1021.7,1007.0
 2023-10,1008.0,1016.3,997.6,1018.1,1026.5,1007.6
 2023-11,1010.5,1024.1,988.7,1021.1,1035.3,998.5
 2023-12,1013.5,1027.5,993.8,1024.3,1039.0,1004.2
 2024-01,1014.1,1023.1,1004.8,1025.0,1034.1,1015.4
 2024-02,1013.1,1021.9,997.5,1023.8,1032.8,1007.8
 2024-03,1007.5,1018.8,993.1,1018.0,1029.6,1003.5
 2024-04,1003.5,1016.2,993.8,1013.6,1026.5,1003.6
 2024-05,1002.8,1009.9,991.2,1012.8,1020.2,1001.0
 2024-06,997.3,1008.7,984.5,1007.0,1018.6,994.1
 2024-07,996.1,1005.6,988.6,1005.7,1015.3,998.3
 2024-08,996.7,1001.2,991.2,1006.3,1010.8,1000.7
 2024-09,1002.5,1011.4,994.1,1012.2,1021.4,1003.6
 2024-10,1009.2,1022.3,998.7,1019.3,1032.7,1008.7
 2024-11,1010.8,1023.4,997.4,1021.3,1034.3,1007.7
 2024-12,1012.2,1020.7,1002.7,1023.0,1031.9,1012.9
 평균,1005.5,1015.5,993.4,1015.8,1026.0,1003.4



