다중지점통계
[검색조건]
,분류 : 지상
,요소 : 
,검색구분 : 월
,지점명 : 서울
,기간 : 2023 ~ 2024  01~12





선텍 전체 통계
일시,합계일조시간(hr),합계전천일사량(MJ/㎡)
 2023-01,190.9,290.78
 2023-02,198.2,363.91
 2023-03,239.8,520.57
 2023-04,182.3,498.03
 2023-05,235.6,648.18
 2023-06,195.1,572.17
 2023-07,146.1,478.80
 2023-08,156.1,469.76
 2023-09,157.1,425.79
 2023-10,208.7,416.57
 2023-11,171.9,284.12
 2023-12,142.2,217.32
 2024-01,177.4,279.71
 2024-02,109.3,259.99
 2024-03,190.6,438.18
 2024-04,209.2,558.15
 2024-05,262.0,686.87
 2024-06,285.6,714.52
 2024-07,96.3,402.43
 2024-08,179.0,507.93
 2024-09,166.9,439.21
 2024-10,166.4,367.11
 2024-11,182.9,293.01
 2024-12,206.3,288.48
 평균,185.7,434.23

