일시,평균기온(℃),최고기온 평균(℃),최저기온 평균(℃),강수량(mm),평균풍속(m/s),최대풍속(m/s),평균현지기압(hPa),최고현지기압(hPa),최저현지기압(hPa),평균해면기압(hPa),최고해면기압(hPa),최저해면기압(hPa),평균상대습도(%),최소상대습도(%),합계일조시간(hr),합계전천일사량(MJ/㎡)
 2023-01,-1.5,3.2,-5.7,47.9,2.4,7.5,1013.7,1022.8,997.4,1024.6,1034.4,1007.7,63,25,190.9,290.78
 2023-02,2.3,7.3,-1.9,1.0,2.3,6.8,1014.8,1027.2,1003.9,1025.6,1038.1,1014.4,59,21,198.2,363.91
 2023-03,9.8,16.2,4.2,10.5,2.3,7.3,1009.4,1020.0,993.9,1019.8,1030.8,1003.6,51,13,239.8,520.57
 2023-04,13.8,19.0,8.8,96.9,2.5,9.3,1004.0,1014.2,991.8,1014.2,1024.4,1001.8,60,14,182.3,498.03
 2023-05,19.5,25.0,14.6,155.6,2.3,8.6,1002.4,1013.7,989.7,1012.4,1023.8,999.5,63,21,235.6,648.18
 2023-06,23.4,27.9,19.7,195.6,2.2,7.5,996.5,1004.4,987.2,1006.2,1014.4,996.8,73,28,195.1,572.17
 2023-07,26.7,30.2,23.9,459.9,2.1,7.0,996.9,1005.8,981.4,1006.6,1015.6,990.9,81,40,146.1,478.8
 2023-08,27.2,30.8,24.3,298.1,2.2,8.9,995.1,1002.1,981.9,1004.8,1011.8,991.6,76,47,156.1,469.76
 2023-09,23.7,27.6,20.2,134.5,2.0,5.2,1002.5,1011.7,997.5,1012.3,1021.7,1007.0,74,33,157.1,425.79
 2023-10,15.8,21.0,11.5,31.0,1.9,6.4,1008.0,1016.3,997.6,1018.1,1026.5,1007.6,67,26,208.7,416.57
 2023-11,6.8,11.5,2.9,81.9,2.6,9.1,1010.5,1024.1,988.7,1021.1,1035.3,998.5,65,22,171.9,284.12
 2023-12,1.1,5.2,-2.5,85.9,2.4,9.0,1013.5,1027.5,993.8,1024.3,1039.0,1004.2,69,30,142.2,217.32
 2024-01,-0.5,3.6,-3.9,18.9,2.3,7.2,1014.1,1023.1,1004.8,1025.0,1034.1,1015.4,67,23,177.4,279.71
 2024-02,3.8,8.2,0.2,74.7,2.5,8.8,1013.1,1021.9,997.5,1023.8,1032.8,1007.8,73,30,109.3,259.99
 2024-03,7.0,12.0,2.4,29.9,2.7,8.4,1007.5,1018.8,993.1,1018.0,1029.6,1003.5,57,13,190.6,438.18
 2024-04,16.3,22.4,11.5,33.2,2.4,7.9,1003.5,1016.2,993.8,1013.6,1026.5,1003.6,56,14,209.2,558.15
 2024-05,18.5,23.7,13.8,125.1,2.4,9.1,1002.8,1009.9,991.2,1012.8,1020.2,1001.0,63,23,262.0,686.87
 2024-06,24.6,30.1,19.9,115.9,2.2,7.2,997.3,1008.7,984.5,1007.0,1018.6,994.1,61,27,285.6,714.52
 2024-07,26.6,29.6,24.1,557.3,2.5,8.3,996.1,1005.6,988.6,1005.7,1015.3,998.3,81,40,96.3,402.43
 2024-08,29.3,33.3,26.3,72.8,2.1,8.2,996.7,1001.2,991.2,1006.3,1010.8,1000.7,73,40,179.0,507.93
 2024-09,25.5,29.8,22.0,143.9,2.3,7.1,1002.5,1011.4,994.1,1012.2,1021.4,1003.6,72,37,166.9,439.21
 2024-10,16.7,21.4,12.7,74.0,2.0,8.0,1009.2,1022.3,998.7,1019.3,1032.7,1008.7,70,26,166.4,367.11
 2024-11,9.7,14.9,5.5,60.0,2.0,8.1,1010.8,1023.4,997.4,1021.3,1034.3,1007.7,63,21,182.9,293.01
 2024-12,0.8,5.3,-2.9,5.7,2.2,6.9,1012.2,1020.7,1002.7,1023.0,1031.9,1012.9,56,26,206.3,288.48
 평균,14.5,19.1,10.5,121.3,2.3,7.8,1005.5,1015.5,993.4,1015.8,1026.0,1003.4,66,27,185.7,434.23
