지점번호,지점명,일시,일조합(hr),일조율(%),일사합(MJ/m2),평균기온(℃),최고기온(℃),최고기온시각,최저기온(℃),최저기온시각일교차,Unnamed: 8,평균습도(%rh),최저습도(%rh)
108,서울,2023-01-01,9,94.7,10.81,-0.2,3.8,13:43,-4.3,23:50,8.1,55,28.2
108,서울,2023-01-02,9.1,95.8,11.63,-4.5,-0.4,15:25,-7.4,8:04,7,46,31.9
108,서울,2023-01-03,9.1,95.8,11.77,-5,0.6,15:55,-9,5:51,9.6,49,27
108,서울,2023-01-04,8.7,91.6,10.89,-1.8,3.3,15:10,-5.7,2:29,9,51,33.7
108,서울,2023-01-05,4.7,48.5,6.09,-1.6,3.6,15:36,-5.6,7:49,9.2,58.1,39
108,서울,2023-01-06,7.1,73.2,8.78,0.6,5.7,14:14,-4.7,8:16,10.4,71.9,48
108,서울,2023-01-07,1,10.3,4.78,1.5,3.8,13:36,-1.4,23:54,5.2,80.9,64
108,서울,2023-01-08,7.1,73.2,9.37,1.3,6.3,15:22,-3.7,8:00,10,69.3,46
108,서울,2023-01-09,7.8,80.4,10.53,3.1,7,12:38,-1.3,24:00:00,8.3,60.1,43
108,서울,2023-01-10,8.8,89.8,11.33,1.6,9.1,15:30,-3.9,7:24,13,59.9,39
108,서울,2023-01-11,8.8,89.8,10.86,2.6,9.2,14:10,-2,8:02,11.2,61.9,30
108,서울,2023-01-12,9,91.8,10.88,5.9,12.5,16:00,-0.6,6:45,13.1,46.6,25
108,서울,2023-01-13,0,0,1.11,8.3,10.1,16:28,5.1,2:25,5,99.1,47
108,서울,2023-01-14,0,0,1.84,6.6,8.4,0:01,3.8,23:28,4.6,92.9,82
108,서울,2023-01-15,0,0,1.32,-0.2,3.8,0:01,-3.5,23:38,7.3,93.9,84
108,서울,2023-01-16,8.8,88.9,12.95,-4.6,-1.2,14:32,-6.8,8:49,5.6,63.1,42
108,서울,2023-01-17,0.2,2,5.27,-3.7,-0.4,14:02,-7,3:11,6.6,65.1,46
108,서울,2023-01-18,8.9,89.9,12.71,-1.9,2.2,14:52,-4.6,8:15,6.8,60.5,27
108,서울,2023-01-19,3.1,31.3,7.63,-0.4,4.3,14:19,-6,6:01,10.3,69.3,47
108,서울,2023-01-20,8.7,87,13.49,-3.3,2,2:22,-7.7,23:53,9.7,52.4,30
108,서울,2023-01-21,8.5,85,12.37,-4.5,1.5,15:22,-10.5,7:13,12,55.4,36
108,서울,2023-01-22,0.3,3,4.41,-0.6,2.6,15:33,-2.8,1:17,5.4,62.8,53
108,서울,2023-01-23,7.3,73,10.15,-0.8,4.6,13:45,-6.9,23:54,11.5,66.6,46
