조건별분석,,,,,
[검색조건],,,,,
,분류: 지상,,,,
,요소 : 일조일사,,,,
,검색구분 : 일,,,,
,지역/지점명 : 서울,,,,
,기간 : 2023 ~ 2024년 01 ~ 12월 01 ~ 31일,,,,
,,,,,
,,,,,
"	",,,,,
"	",,,,,
"	",,,,,
"	",,,,,
"		",,,,,
"	",,,,,
"	",,,,,
"		지점번호",지점명,일시,일조합(hr),일조율(%),일사합(MJ/m2)
"		108",서울,2023-01-01,9,94.7,10.81
"		108",서울,2023-01-02,9.1,95.8,11.63
"		108",서울,2023-01-03,9.1,95.8,11.77
"		108",서울,2023-01-04,8.7,91.6,10.89
"		108",서울,2023-01-05,4.7,48.5,6.09
"		108",서울,2023-01-06,7.1,73.2,8.78
"		108",서울,2023-01-07,1,10.3,4.78
"		108",서울,2023-01-08,7.1,73.2,9.37
"		108",서울,2023-01-09,7.8,80.4,10.53
"		108",서울,2023-01-10,8.8,89.8,11.33
"		108",서울,2023-01-11,8.8,89.8,10.86
"		108",서울,2023-01-12,9,91.8,10.88
"		108",서울,2023-01-13,0,0,1.11
"		108",서울,2023-01-14,0,0,1.84
"		108",서울,2023-01-15,0,0,1.32
"		108",서울,2023-01-16,8.8,88.9,12.95
"		108",서울,2023-01-17,0.2,2,5.27
"		108",서울,2023-01-18,8.9,89.9,12.71
"		108",서울,2023-01-19,3.1,31.3,7.63
"		108",서울,2023-01-20,8.7,87,13.49
"		108",서울,2023-01-21,8.5,85,12.37
"		108",서울,2023-01-22,0.3,3,4.41
"		108",서울,2023-01-23,7.3,73,10.15
"		108",서울,2023-01-24,9.4,93.1,14.08
"		108",서울,2023-01-25,9.4,93.1,14.08
"		108",서울,2023-01-26,0,0,4.51
"		108",서울,2023-01-27,9.4,92.2,14.1
"		108",서울,2023-01-28,9,88.2,12.58
"		108",서울,2023-01-29,5.2,51,9.79
"		108",서울,2023-01-30,9.5,92.2,14.17
"		108",서울,2023-01-31,3,29.1,6.5
"		108",서울,2023-02-01,8.9,86.4,13.24
"		108",서울,2023-02-02,7.6,73.8,10.94
"		108",서울,2023-02-03,8.6,82.7,13.54
"		108",서울,2023-02-04,8.2,78.8,13.23
"		108",서울,2023-02-05,7,66.7,11.35
