조건별분석,,,,
[검색조건],,,,
,분류: 지상,,,
,요소 : 습도,,,
,검색구분 : 일,,,
,지역/지점명 : 서울,,,
,기간 : 2023 ~ 2024년 01 ~ 12월 01 ~ 31일,,,
,,,,
,,,,
"	",,,,
"	",,,,
"	",,,,
"	",,,,
"		",,,,
"	",,,,
"		지점번호",지점명,일시,평균습도(%rh),최저습도(%rh)
"		108",서울,2023-01-01,55,28.2
"		108",서울,2023-01-02,46,31.9
"		108",서울,2023-01-03,49,27
"		108",서울,2023-01-04,51,33.7
"		108",서울,2023-01-05,58.1,39
"		108",서울,2023-01-06,71.9,48
"		108",서울,2023-01-07,80.9,64
"		108",서울,2023-01-08,69.3,46
"		108",서울,2023-01-09,60.1,43
"		108",서울,2023-01-10,59.9,39
"		108",서울,2023-01-11,61.9,30
"		108",서울,2023-01-12,46.6,25
"		108",서울,2023-01-13,99.1,47
"		108",서울,2023-01-14,92.9,82
"		108",서울,2023-01-15,93.9,84
"		108",서울,2023-01-16,63.1,42
"		108",서울,2023-01-17,65.1,46
"		108",서울,2023-01-18,60.5,27
"		108",서울,2023-01-19,69.3,47
"		108",서울,2023-01-20,52.4,30
"		108",서울,2023-01-21,55.4,36
"		108",서울,2023-01-22,62.8,53
"		108",서울,2023-01-23,66.6,46
"		108",서울,2023-01-24,51.9,39
"		108",서울,2023-01-25,45.1,27
"		108",서울,2023-01-26,80.1,52
"		108",서울,2023-01-27,56.5,35
"		108",서울,2023-01-28,54.9,39
"		108",서울,2023-01-29,58.3,49
"		108",서울,2023-01-30,55.9,31
"		108",서울,2023-01-31,69.1,48
"		108",서울,2023-02-01,68.4,37
"		108",서울,2023-02-02,50.3,36
"		108",서울,2023-02-03,47.4,22
"		108",서울,2023-02-04,49.8,33
"		108",서울,2023-02-05,71,49
"		108",서울,2023-02-06,72.3,50
"		108",서울,2023-02-07,72.9,50
"		108",서울,2023-02-08,62.1,31
"		108",서울,2023-02-09,49.9,32
"		108",서울,2023-02-10,79.6,69
"		108",서울,2023-02-11,73,50
"		108",서울,2023-02-12,70,54
"		108",서울,2023-02-13,66.5,56
"		108",서울,2023-02-14,54.9,38
"		108",서울,2023-02-15,46.4,33
"		108",서울,2023-02-16,68.3,51
"		108",서울,2023-02-17,67.8,40
"		108",서울,2023-02-18,58.3,45
"		108",서울,2023-02-19,56.1,29
"		108",서울,2023-02-20,46.4,27
"		108",서울,2023-02-21,42.4,23
"		108",서울,2023-02-22,50.6,21
"		108",서울,2023-02-23,65.5,36
"		108",서울,2023-02-24,57.9,25
"		108",서울,2023-02-25,44,27
"		108",서울,2023-02-26,46.6,25
"		108",서울,2023-02-27,47.4,24
"		108",서울,2023-02-28,63.4,44
"		108",서울,2023-03-01,54.4,27
"		108",서울,2023-03-02,37.8,22
"		108",서울,2023-03-03,65,48
"		108",서울,2023-03-04,68.4,35
"		108",서울,2023-03-05,54,24
"		108",서울,2023-03-06,41.9,18
"		108",서울,2023-03-07,60.9,40
"		108",서울,2023-03-08,66.3,41
"		108",서울,2023-03-09,85.9,71
"		108",서울,2023-03-10,62.1,27
"		108",서울,2023-03-11,52,20
"		108",서울,2023-03-12,68,40
"		108",서울,2023-03-13,38.9,22
"		108",서울,2023-03-14,45.9,23
"		108",서울,2023-03-15,66.6,33
"		108",서울,2023-03-16,36.8,19
"		108",서울,2023-03-17,34.3,20
"		108",서울,2023-03-18,46.4,22
"		108",서울,2023-03-19,59.6,29
"		108",서울,2023-03-20,50.4,23
"		108",서울,2023-03-21,35.1,13
"		108",서울,2023-03-22,44.8,28
"		108",서울,2023-03-23,48.9,31
"		108",서울,2023-03-24,36.8,27
"		108",서울,2023-03-25,59.9,41
"		108",서울,2023-03-26,34,16
"		108",서울,2023-03-27,44.8,21
"		108",서울,2023-03-28,53.3,22
"		108",서울,2023-03-29,50.3,20
"		108",서울,2023-03-30,42.5,21
"		108",서울,2023-03-31,42.5,23
"		108",서울,2023-04-01,40.4,19
"		108",서울,2023-04-02,29.6,16
"		108",서울,2023-04-03,29.4,16
"		108",서울,2023-04-04,40.4,16
"		108",서울,2023-04-05,97.8,90
"		108",서울,2023-04-06,94.6,84
"		108",서울,2023-04-07,65,36
"		108",서울,2023-04-08,51.1,25
"		108",서울,2023-04-09,56.8,33
"		108",서울,2023-04-10,50.8,31
"		108",서울,2023-04-11,73.4,43
"		108",서울,2023-04-12,45.1,17
"		108",서울,2023-04-13,45,18
"		108",서울,2023-04-14,58.6,39
"		108",서울,2023-04-15,81.8,63
"		108",서울,2023-04-16,71.4,38
"		108",서울,2023-04-17,59,36
"		108",서울,2023-04-18,78.6,46
"		108",서울,2023-04-19,66.1,25
"		108",서울,2023-04-20,92.1,81
"		108",서울,2023-04-21,50.4,18
"		108",서울,2023-04-22,22.9,14
"		108",서울,2023-04-23,34.1,19
"		108",서울,2023-04-24,40.5,30
"		108",서울,2023-04-25,68.6,45
"		108",서울,2023-04-26,69.9,47
"		108",서울,2023-04-27,61.6,26
"		108",서울,2023-04-28,62,26
"		108",서울,2023-04-29,88.1,68
"		108",서울,2023-04-30,72.9,39
"		108",서울,2023-05-01,57,27
"		108",서울,2023-05-02,40.5,21
"		108",서울,2023-05-03,52.5,23
"		108",서울,2023-05-04,65.5,50
"		108",서울,2023-05-05,95.3,61
"		108",서울,2023-05-06,85.6,56
"		108",서울,2023-05-07,47.1,36
"		108",서울,2023-05-08,55.3,31
"		108",서울,2023-05-09,55.4,31
"		108",서울,2023-05-10,53.3,25
"		108",서울,2023-05-11,50.1,26
"		108",서울,2023-05-12,50.9,24
"		108",서울,2023-05-13,62,35
"		108",서울,2023-05-14,56.5,35
"		108",서울,2023-05-15,54.6,32
"		108",서울,2023-05-16,51.9,33
"		108",서울,2023-05-17,63.6,34
"		108",서울,2023-05-18,74.8,48
"		108",서울,2023-05-19,61.4,41
"		108",서울,2023-05-20,66.9,51
"		108",서울,2023-05-21,74,46
"		108",서울,2023-05-22,61.3,31
"		108",서울,2023-05-23,48,27
"		108",서울,2023-05-24,49.8,34
"		108",서울,2023-05-25,46.6,27
"		108",서울,2023-05-26,57.4,38
"		108",서울,2023-05-27,87.4,65
"		108",서울,2023-05-28,98.9,83
"		108",서울,2023-05-29,83.4,58
"		108",서울,2023-05-30,69.5,48
"		108",서울,2023-05-31,60.8,45
"		108",서울,2023-06-01,66.9,56
"		108",서울,2023-06-02,77.4,59
"		108",서울,2023-06-03,60.1,31
"		108",서울,2023-06-04,61,28
"		108",서울,2023-06-05,66.9,47
"		108",서울,2023-06-06,72.9,50
"		108",서울,2023-06-07,75.3,63
"		108",서울,2023-06-08,80.5,65
"		108",서울,2023-06-09,64,32
"		108",서울,2023-06-10,70,48
"		108",서울,2023-06-11,76.1,53
"		108",서울,2023-06-12,70.5,47
"		108",서울,2023-06-13,70,50
"		108",서울,2023-06-14,80.3,53
"		108",서울,2023-06-15,70.8,50
"		108",서울,2023-06-16,64.4,45
"		108",서울,2023-06-17,57.1,39
"		108",서울,2023-06-18,60.5,43
"		108",서울,2023-06-19,57.8,42
"		108",서울,2023-06-20,64.5,51
"		108",서울,2023-06-21,92.6,83
"		108",서울,2023-06-22,77.1,61
"		108",서울,2023-06-23,76.6,50
"		108",서울,2023-06-24,70.5,55
"		108",서울,2023-06-25,64.9,47
"		108",서울,2023-06-26,88.6,59
"		108",서울,2023-06-27,73.1,51
"		108",서울,2023-06-28,77.4,60
"		108",서울,2023-06-29,95.4,85
"		108",서울,2023-06-30,89.8,72
"		108",서울,2023-07-01,76.9,58
"		108",서울,2023-07-02,79.5,64
"		108",서울,2023-07-03,72,40
"		108",서울,2023-07-04,86.8,68
"		108",서울,2023-07-05,82.6,68
"		108",서울,2023-07-06,70.9,56
"		108",서울,2023-07-07,64.9,46
"		108",서울,2023-07-08,76.5,64
"		108",서울,2023-07-09,86.4,78
"		108",서울,2023-07-10,80.4,58
"		108",서울,2023-07-11,92.4,79
"		108",서울,2023-07-12,86.4,72
"		108",서울,2023-07-13,95,84
"		108",서울,2023-07-14,99.1,96
"		108",서울,2023-07-15,93.5,85
"		108",서울,2023-07-16,89.5,80
"		108",서울,2023-07-17,86.1,76
"		108",서울,2023-07-18,87.9,75
"		108",서울,2023-07-19,78.8,55
"		108",서울,2023-07-20,74,51
"		108",서울,2023-07-21,69.6,48
"		108",서울,2023-07-22,73.9,51
"		108",서울,2023-07-23,94.3,87
"		108",서울,2023-07-24,83.1,69
"		108",서울,2023-07-25,80.5,68
"		108",서울,2023-07-26,80.9,69
"		108",서울,2023-07-27,78.1,59
